wm_poi_id,provider_id,lead_tag,status,modifier,ctime,shop_name,contact_phone,city_area,provider_name
POI0000000025,PRV000082,老客户,已流失,刘小芳,1768172265,吴家烤肉店(徐汇区店),15351443884,长宁区,商户运营服务商
POI0000000026,PRV000016,潜在客户,已签约,钱七,1759273065,张记便利店,19518631561,石景山区,美团优选服务商
POI0000000027,PRV000083,新客户,已签约,赵六,1763938665,钱家炸鸡店,17848765920,丰台区,品牌推广服务商
POI0000000028,PRV000061,高价值客户,待联系,赵六,1751929065,张记超市(越秀区店),18175348230,锦江区,数字营销服务商
POI0000000029,PRV000073,流失客户,意向中,张三,1762383465,老王麻辣烫,18445109322,番禺区,本地生活服务商
POI0000000030,PRV000061,流失客户,已流失,杨小军,1767221865,陈家包子铺(番禺区店),13742087226,静安区,本地生活服务商
POI0000000031,PRV000004,流失客户,已联系,郑小明,1745103465,李姐奶茶店,13200371239,黄浦区,数字营销服务商
POI0000000032,PRV000040,潜在客户,意向中,王小红,1748300265,赵哥奶茶店(武侯区店),13390605908,荔湾区,商户运营服务商
POI0000000033,PRV000068,待跟进,已流失,赵六,1768777065,郑氏烧烤店(宝安区店),15248185411,锦江区,商户运营服务商
POI0000000034,PRV000062,流失客户,已签约,李四,1749855465,王妈蛋糕店,18746652305,白云区,本地生活服务商
POI0000000035,PRV000050,老客户,已联系,吴十,1746917865,孙记寿司店,13920562691,黄浦区,饿了么金牌服务商
POI0000000036,PRV000087,流失客户,已流失,李小华,1766444265,吴家烧烤店(浦东新区店),19205827134,宝安区,数字营销服务商
POI0000000037,PRV000044,老客户,意向中,钱七,1752793065,老王洗衣店(朝阳区店),15927015910,宝安区,品牌推广服务商
POI0000000038,PRV000058,老客户,待联系,周九,1765753065,冯记奶茶店,19445384781,丰台区,美团优选服务商
POI0000000039,PRV000015,流失客户,意向中,吴十,1762556265,吴家洗衣店,18126513311,白云区,商户运营服务商
POI0000000040,PRV000002,待跟进,意向中,杨小军,1767999465,刘氏超市,13145351834,白云区,饿了么金牌服务商
POI0000000041,PRV000054,潜在客户,已流失,刘小芳,1767394665,赵哥冒菜店,17787399211,南山区,美团优选服务商
POI0000000042,PRV000020,待跟进,已签约,周九,1740956265,吴家烧烤店,19979442148,番禺区,品牌推广服务商
POI0000000043,PRV000025,高价值客户,意向中,王五,1749855465,张记烧烤店,17155992233,徐汇区,数字营销服务商
POI0000000044,PRV000050,潜在客户,已流失,孙八,1758495465,李姐包子铺,15709018658,徐汇区,商户运营服务商
POI0000000045,PRV000088,流失客户,已签约,吴十,1752965865,周记超市,15129312239,罗湖区,饿了么金牌服务商
POI0000000046,PRV000009,待跟进,意向中,郑小明,1760914665,郑氏奶茶店(东城区店),15743564404,静安区,本地生活服务商
POI0000000047,PRV000015,新客户,已联系,王五,1767135465,钱家寿司店,17758041410,长宁区,品牌推广服务商
POI0000000048,PRV000074,新客户,已联系,张三,1766012265,老王披萨店,18168719777,黄浦区,美团优选服务商
POI0000000049,PRV000093,潜在客户,已流失,周九,1754089065,老王火锅店(宝安区店),18734453765,东城区,商户运营服务商
POI0000000050,PRV000094,潜在客户,意向中,孙八,1743634665,陈家麻辣烫,15456084856,福田区,商户运营服务商
POI0000000051,PRV000012,流失客户,已联系,孙八,1748213865,钱家蛋糕店,15257498564,徐汇区,本地生活服务商
POI0000000052,PRV000063,流失客户,已联系,吴十,1743980265,冯记药店,18835544154,浦东新区,数字营销服务商
POI0000000053,PRV000057,流失客户,待联系,周九,1742770665,周记冒菜店(东城区店),18839757600,番禺区,美团优选服务商
POI0000000054,PRV000079,流失客户,意向中,刘小芳,1768690665,褚氏咖啡厅,15518408134,锦江区,本地生活服务商
POI0000000055,PRV000090,潜在客户,已流失,李小华,1762124265,老王粥铺,13320421172,荔湾区,本地生活服务商
POI0000000056,PRV000088,待跟进,已流失,郑小明,1768258665,张记理发店,18697159791,东城区,品牌推广服务商
POI0000000057,PRV000068,新客户,已联系,钱七,1749337065,张记米线店,19212090703,宝安区,品牌推广服务商
POI0000000058,PRV000026,老客户,已流失,杨小军,1753657065,李姐奶茶店(罗湖区店),17649639858,天河区,商户运营服务商
POI0000000059,PRV000061,高价值客户,已流失,刘小芳,1770418665,陈家寿司店,19418575685,徐汇区,美团优选服务商
POI0000000060,PRV000048,新客户,已签约,张三,1766012265,吴家便利店,13115364495,罗湖区,美团优选服务商
POI0000000061,PRV000092,新客户,意向中,吴十,1752447465,小李超市,19589685635,番禺区,本地生活服务商
POI0000000062,PRV000066,流失客户,待联系,钱七,1748818665,陈家寿司店(普陀区店),13498390014,普陀区,本地生活服务商
POI0000000063,PRV000050,潜在客户,意向中,赵六,1745881065,赵哥烤肉店,19851225201,锦江区,饿了么金牌服务商
POI0000000064,PRV000081,待跟进,已签约,赵六,1739573865,李姐炸鸡店(静安区店),18320948051,石景山区,饿了么金牌服务商
POI0000000065,PRV000011,高价值客户,意向中,王小红,1743721065,褚氏粥铺,19228096984,宝安区,数字营销服务商
POI0000000066,PRV000027,高价值客户,已流失,吴十,1766617065,刘氏冒菜店,19731268634,越秀区,饿了么金牌服务商
POI0000000067,PRV000078,流失客户,已联系,王五,1748473065,小李川菜馆,19160469758,武侯区,美团优选服务商
POI0000000068,PRV000069,高价值客户,意向中,李小华,1750892265,钱家蛋糕店,13681912566,徐汇区,商户运营服务商
POI0000000069,PRV000100,老客户,待联系,王小红,1764802665,周记理发店,15649501679,龙岗区,本地生活服务商
POI0000000070,PRV000095,流失客户,待联系,张三,1749077865,张记面馆,17891949304,普陀区,商户运营服务商
POI0000000071,PRV000064,新客户,待联系,吴十,1740092265,刘氏理发店,13760513399,浦东新区,数字营销服务商
POI0000000072,PRV000072,新客户,已流失,郑小明,1753570665,陈家饺子馆,19223861493,石景山区,数字营销服务商
POI0000000073,PRV000004,新客户,已联系,张三,1760309865,吴家饺子馆(朝阳区店),17162825004,荔湾区,饿了么金牌服务商
POI0000000074,PRV000078,潜在客户,意向中,赵六,1750633065,周记烤肉店(越秀区店),18379544863,西城区,品牌推广服务商
POI0000000075,PRV000048,潜在客户,已联系,钱七,1769813865,小李火锅店,18573267399,武侯区,饿了么金牌服务商
POI0000000076,PRV000076,高价值客户,意向中,王小红,1762383465,刘氏超市(西城区店),15813628749,番禺区,美团优选服务商
POI0000000077,PRV000082,流失客户,待联系,孙八,1749250665,孙记炸鸡店(徐汇区店),13282857596,东城区,美团优选服务商
POI0000000078,PRV000016,待跟进,已流失,张三,1755039465,卫家奶茶店,17359749020,南山区,商户运营服务商
POI0000000079,PRV000054,老客户,已流失,周九,1763506665,郑氏快餐店,18343454066,番禺区,商户运营服务商
POI0000000080,PRV000080,待跟进,已签约,郑小明,1752015465,赵哥理发店,17131894646,荔湾区,商户运营服务商
POI0000000081,PRV000043,待跟进,已流失,王五,1746485865,刘氏蛋糕店(白云区店),19852164642,福田区,饿了么金牌服务商
POI0000000082,PRV000072,新客户,已签约,王小红,1739660265,刘氏奶茶店,19543258221,海淀区,饿了么金牌服务商
POI0000000083,PRV000096,待跟进,待联系,张三,1752188265,老王面馆,19123792206,宝安区,饿了么金牌服务商
POI0000000084,PRV000077,高价值客户,已签约,赵六,1741042665,张记水果店,18138739744,天河区,品牌推广服务商
POI0000000085,PRV000052,高价值客户,已联系,赵六,1746140265,孙记包子铺,19115265713,龙岗区,数字营销服务商
POI0000000086,PRV000012,新客户,意向中,杨小军,1742338665,刘氏寿司店,19352087338,宝安区,商户运营服务商
POI0000000087,PRV000094,待跟进,已签约,周九,1761865065,老王川菜馆(黄浦区店),17467880493,福田区,饿了么金牌服务商
POI0000000088,PRV000013,待跟进,待联系,杨小军,1767135465,褚氏超市(徐汇区店),18484982811,武侯区,本地生活服务商
POI0000000089,PRV000011,潜在客户,待联系,郑小明,1752965865,卫家包子铺(石景山区店),15510090297,丰台区,饿了么金牌服务商
POI0000000090,PRV000002,新客户,已签约,周九,1766271465,卫家面馆,17182901853,天河区,商户运营服务商
POI0000000091,PRV000070,流失客户,意向中,李四,1758149865,吴家蛋糕店(徐汇区店),17752518385,静安区,品牌推广服务商
POI0000000092,PRV000094,新客户,意向中,吴十,1766876265,王妈包子铺,17303824391,番禺区,品牌推广服务商
POI0000000093,PRV000017,新客户,已联系,刘小芳,1744585065,赵哥川菜馆,15415928762,石景山区,本地生活服务商
POI0000000094,PRV000017,流失客户,已流失,李小华,1748213865,张记粥铺,17852733499,越秀区,品牌推广服务商
POI0000000095,PRV000094,高价值客户,已签约,张三,1758409065,王妈麻辣烫,19766285083,东城区,本地生活服务商
POI0000000096,PRV000067,待跟进,已流失,吴十,1747004265,刘氏理发店,17167371786,武侯区,商户运营服务商
POI0000000097,PRV000010,流失客户,已签约,周九,1740783465,褚氏快餐店,18817360590,锦江区,本地生活服务商
POI0000000098,PRV000077,新客户,待联系,赵六,1770418665,王妈烧烤店,19634092766,东城区,品牌推广服务商
POI0000000099,PRV000087,流失客户,已流失,张三,1770073065,郑氏洗衣店,13301074795,长宁区,品牌推广服务商
POI0000000100,PRV000034,新客户,已联系,周九,1759445865,吴家便利店,15170028056,徐汇区,商户运营服务商
